"rules","support","confidence","coverage","lift","count"
"{Q26_1_item=Q26_1=AlbaneseLowMid,Q3_item=Q3=NoCampaignInterest} => {Q27_item=Q27=Dissatisfied}",0.0536159600997506,0.895833333333333,0.0598503740648379,1.53189410092395,43
"{Q3_item=Q3=NoCampaignInterest,Q25_2_item=Q25_2=LaborLowMid} => {Q27_item=Q27=Dissatisfied}",0.0511221945137157,0.872340425531915,0.0586034912718204,1.49172072766865,41
"{Q28_item=Q28=LowTrust,Q3_item=Q3=LowCampaignInterest,Knowledge_item=Knowledge=Low} => {Q27_item=Q27=Dissatisfied}",0.0960099750623441,0.865168539325843,0.110972568578554,1.47945664933758,77
"{Q28_item=Q28=LowTrust,Q15_item=Q15=OtherListedOrNoPreference,Knowledge_item=Knowledge=Low} => {Q27_item=Q27=Dissatisfied}",0.0997506234413965,0.860215053763441,0.115960099750623,1.47098608340785,80
"{Q28_item=Q28=LowTrust,Q15_item=Q15=OtherListedOrNoPreference,Q7_item=Q7=LowSocialMediaAttention} => {Q27_item=Q27=Dissatisfied}",0.0685785536159601,0.859375,0.0798004987531172,1.46954957356077,55
"{Q28_item=Q28=LowTrust,Q3_item=Q3=LowCampaignInterest,Q32_item=Q32=Group3_4_5} => {Q27_item=Q27=Dissatisfied}",0.0748129675810474,0.857142857142857,0.087281795511222,1.46573256168139,60
"{Q28_item=Q28=LowTrust,Q25_2_item=Q25_2=LaborLowMid,Knowledge_item=Knowledge=Low} => {Q27_item=Q27=Dissatisfied}",0.206982543640898,0.855670103092783,0.241895261845387,1.46321412085376,166
"{Q28_item=Q28=LowTrust,Q3_item=Q3=LowCampaignInterest,Q7_item=Q7=LowSocialMediaAttention} => {Q27_item=Q27=Dissatisfied}",0.087281795511222,0.853658536585366,0.102244389027431,1.45977429923553,70
"{Q28_item=Q28=LowTrust,Q7_item=Q7=LowSocialMediaAttention,Q25_2_item=Q25_2=LaborLowMid} => {Q27_item=Q27=Dissatisfied}",0.164588528678304,0.851612903225806,0.193266832917706,1.45627622257377,132
"{Q28_item=Q28=LowTrust,Q3_item=Q3=LowCampaignInterest,Q25_2_item=Q25_2=LaborLowMid} => {Q27_item=Q27=Dissatisfied}",0.107231920199501,0.851485148514851,0.125935162094763,1.45605775929405,86
"{Q28_item=Q28=LowTrust,Q3_item=Q3=LowCampaignInterest} => {Q27_item=Q27=Dissatisfied}",0.120947630922693,0.850877192982456,0.14214463840399,1.45501814237085,97
"{Q28_item=Q28=LowTrust,Q32_item=Q32=Group1_2,Q33_item=Q33=Group3_4_5} => {Q27_item=Q27=Dissatisfied}",0.0536159600997506,0.843137254901961,0.0635910224438903,1.44178268322254,43
"{Q28_item=Q28=LowTrust,Q26_1_item=Q26_1=AlbaneseLowMid,Knowledge_item=Knowledge=Low} => {Q27_item=Q27=Dissatisfied}",0.219451371571072,0.842105263157895,0.260598503740648,1.4400179553361,176
"{Q28_item=Q28=LowTrust,Q15_item=Q15=OtherListedOrNoPreference,Q32_item=Q32=Group1_2} => {Q27_item=Q27=Dissatisfied}",0.0648379052369077,0.838709677419355,0.0773067331670823,1.43421143132265,52
"{Q28_item=Q28=LowTrust,Q33_item=Q33=Group3_4_5,Q25_2_item=Q25_2=LaborLowMid} => {Q27_item=Q27=Dissatisfied}",0.206982543640898,0.834170854271357,0.248129675810474,1.42644994696296,166
"{Q28_item=Q28=LowTrust,Q15_item=Q15=OtherListedOrNoPreference,Q33_item=Q33=Group3_4_5} => {Q27_item=Q27=Dissatisfied}",0.087281795511222,0.833333333333333,0.104738154613466,1.42501776830135,70
"{Q3_item=Q3=NoCampaignInterest} => {Q27_item=Q27=Dissatisfied}",0.0561097256857855,0.833333333333333,0.0673316708229426,1.42501776830135,45
"{Q28_item=Q28=LowTrust,Q32_item=Q32=Group3_4_5,Knowledge_item=Knowledge=Low} => {Q27_item=Q27=Dissatisfied}",0.15211970074813,0.829931972789116,0.183291770573566,1.41920136924706,122
"{Q28_item=Q28=LowTrust,Q26_1_item=Q26_1=AlbaneseLowMid,Q7_item=Q7=LowSocialMediaAttention} => {Q27_item=Q27=Dissatisfied}",0.168329177057357,0.828220858895706,0.203241895261845,1.41627532800502,135
"{Q28_item=Q28=LowTrust,Q33_item=Q33=Group3_4_5,Knowledge_item=Knowledge=Low} => {Q27_item=Q27=Dissatisfied}",0.170822942643392,0.825301204819277,0.206982543640898,1.41128265728158,137
