"variable","raw_na","structural_missing","residual_blank","special_response_total","substantive_special","true_missing_codes","missing_like_for_modelling","raw_na_rate","structural_missing_rate","residual_blank_rate","special_response_rate","substantive_special_rate","true_missing_code_rate","missing_like_for_modelling_rate"
"Serial",0,0,0,3,3,0,0,0,0,0,0.0037,0.0037,0,0
"wave",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Resp_AGERES",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"yearRES",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"monthRES",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Q1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Q2_1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Q2_2",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Q2_3",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Q2_4",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Q3",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Q4_1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Q4_2",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Q4_3",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Q4_4",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Q4_5",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Q4_6",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Q5_1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Q5_2",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Q5_3",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Q5_4",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Q5_5",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Q5_6",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Q5_7",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Q6_1",396,396,0,0,0,0,0,0.4938,0.4938,0,0,0,0,0
"Q6_2",396,396,0,0,0,0,0,0.4938,0.4938,0,0,0,0,0
"Q6_3",396,396,0,0,0,0,0,0.4938,0.4938,0,0,0,0,0
"Q6_4",396,396,0,0,0,0,0,0.4938,0.4938,0,0,0,0,0
"Q6_96",396,396,0,0,0,0,0,0.4938,0.4938,0,0,0,0,0
"Q7",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Q8",0,0,0,260,260,0,0,0,0,0,0.3242,0.3242,0,0
"Q8_OthRES",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Q9",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Q10",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Q11",0,0,0,77,77,0,0,0,0,0,0.096,0.096,0,0
"Q12",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Q13",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Q14",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Q15",79,79,0,121,121,0,0,0.0985,0.0985,0,0.1509,0.1509,0,0
"Q15_OthRES",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Q16",79,79,0,129,129,0,0,0.0985,0.0985,0,0.1608,0.1608,0,0
"Q16_OthRES",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Q17",79,79,0,65,65,0,0,0.0985,0.0985,0,0.081,0.081,0,0
"Q18",79,79,0,78,78,0,0,0.0985,0.0985,0,0.0973,0.0973,0,0
"Q19",79,79,0,0,0,0,0,0.0985,0.0985,0,0,0,0,0
"Q20",79,79,0,0,0,0,0,0.0985,0.0985,0,0,0,0,0
"Q21",79,79,0,0,0,0,0,0.0985,0.0985,0,0,0,0,0
"Q22_1",79,79,0,0,0,0,0,0.0985,0.0985,0,0,0,0,0
"Q22_2",79,79,0,0,0,0,0,0.0985,0.0985,0,0,0,0,0
"Q22_3",79,79,0,0,0,0,0,0.0985,0.0985,0,0,0,0,0
"Q22_4",79,79,0,0,0,0,0,0.0985,0.0985,0,0,0,0,0
"Q22_5",79,79,0,0,0,0,0,0.0985,0.0985,0,0,0,0,0
"Q22_6",79,79,0,0,0,0,0,0.0985,0.0985,0,0,0,0,0
"Q22_7",79,79,0,0,0,0,0,0.0985,0.0985,0,0,0,0,0
"Q23",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Q24",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Q25_1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Q25_2",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Q25_3",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Q25_4",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Q26_1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Q26_2",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Q26_3",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Q26_4",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Q27",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Q28",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Q29",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Q30_1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Q30_2",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Q30_3",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Q30_4",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Q30_5",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Q30_6",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Q31",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Q32",0,0,0,0,0,0,0,0,0,0,0,0,0,0
