"cp","minsplit","minbucket","maxdepth","accuracy","kappa","balanced_accuracy","precision_satisfied","recall_satisfied","f1_satisfied","specificity"
5e-04,30,10,3,0.659053884711779,0.259132978446266,0.62342720685112,0.644594645550528,0.410869565217391,0.492201379955018,0.835984848484848
0.001,30,10,3,0.659053884711779,0.259132978446266,0.62342720685112,0.644594645550528,0.410869565217391,0.492201379955018,0.835984848484848
0.002,30,10,3,0.659053884711779,0.259132978446266,0.62342720685112,0.644594645550528,0.410869565217391,0.492201379955018,0.835984848484848
0.005,30,10,3,0.659085213032581,0.2581208319443,0.622949604743083,0.641815610859728,0.406884057971015,0.489549966327995,0.839015151515151
0.01,30,10,3,0.659085213032581,0.2581208319443,0.622949604743083,0.641815610859728,0.406884057971015,0.489549966327995,0.839015151515151
0.02,30,10,3,0.666165413533835,0.275062541917105,0.630986495388669,0.661081271669507,0.419927536231884,0.503282834536327,0.842045454545455
5e-04,40,10,3,0.657299498746867,0.252260061122238,0.619458168642951,0.650717126011244,0.393840579710145,0.481538761846202,0.845075757575758
0.001,40,10,3,0.657299498746867,0.252260061122238,0.619458168642951,0.650717126011244,0.393840579710145,0.481538761846202,0.845075757575758
0.002,40,10,3,0.657299498746867,0.252260061122238,0.619458168642951,0.650717126011244,0.393840579710145,0.481538761846202,0.845075757575758
0.005,40,10,3,0.660870927318296,0.261642908937407,0.624464756258234,0.64863379267791,0.406884057971015,0.491062571370011,0.842045454545455
0.01,40,10,3,0.660870927318296,0.261642908937407,0.624464756258234,0.64863379267791,0.406884057971015,0.491062571370011,0.842045454545455
0.02,40,10,3,0.666165413533835,0.275062541917105,0.630986495388669,0.661081271669507,0.419927536231884,0.503282834536327,0.842045454545455
5e-04,60,10,3,0.657299498746867,0.252260061122238,0.619458168642951,0.650717126011244,0.393840579710145,0.481538761846202,0.845075757575758
0.001,60,10,3,0.657299498746867,0.252260061122238,0.619458168642951,0.650717126011244,0.393840579710145,0.481538761846202,0.845075757575758
0.002,60,10,3,0.657299498746867,0.252260061122238,0.619458168642951,0.650717126011244,0.393840579710145,0.481538761846202,0.845075757575758
0.005,60,10,3,0.660870927318296,0.261642908937407,0.624464756258234,0.64863379267791,0.406884057971015,0.491062571370011,0.842045454545455
0.01,60,10,3,0.660870927318296,0.261642908937407,0.624464756258234,0.64863379267791,0.406884057971015,0.491062571370011,0.842045454545455
0.02,60,10,3,0.666165413533835,0.275062541917105,0.630986495388669,0.661081271669507,0.419927536231884,0.503282834536327,0.842045454545455
5e-04,80,10,3,0.657299498746867,0.252260061122238,0.619458168642951,0.650717126011244,0.393840579710145,0.481538761846202,0.845075757575758
0.001,80,10,3,0.657299498746867,0.252260061122238,0.619458168642951,0.650717126011244,0.393840579710145,0.481538761846202,0.845075757575758
0.002,80,10,3,0.657299498746867,0.252260061122238,0.619458168642951,0.650717126011244,0.393840579710145,0.481538761846202,0.845075757575758
0.005,80,10,3,0.660870927318296,0.261642908937407,0.624464756258234,0.64863379267791,0.406884057971015,0.491062571370011,0.842045454545455
0.01,80,10,3,0.660870927318296,0.261642908937407,0.624464756258234,0.64863379267791,0.406884057971015,0.491062571370011,0.842045454545455
0.02,80,10,3,0.666165413533835,0.275062541917105,0.630986495388669,0.661081271669507,0.419927536231884,0.503282834536327,0.842045454545455
5e-04,40,20,3,0.660870927318296,0.259011109065649,0.622488471673254,0.660717126011244,0.393840579710145,0.483616683924124,0.851136363636364
0.001,40,20,3,0.660870927318296,0.259011109065649,0.622488471673254,0.660717126011244,0.393840579710145,0.483616683924124,0.851136363636364
0.002,40,20,3,0.660870927318296,0.259011109065649,0.622488471673254,0.660717126011244,0.393840579710145,0.483616683924124,0.851136363636364
0.005,40,20,3,0.664442355889724,0.268393956880818,0.627495059288538,0.65863379267791,0.406884057971015,0.493140493447934,0.848106060606061
0.01,40,20,3,0.664442355889724,0.268393956880818,0.627495059288538,0.65863379267791,0.406884057971015,0.493140493447934,0.848106060606061
0.02,40,20,3,0.669705513784461,0.281408474477804,0.633835638998682,0.669638963977199,0.419565217391304,0.504896446149939,0.848106060606061
5e-04,60,20,3,0.659116541353383,0.254862052993516,0.620405138339921,0.658878890717126,0.389673913043478,0.48008009855827,0.851136363636364
0.001,60,20,3,0.659116541353383,0.254862052993516,0.620405138339921,0.658878890717126,0.389673913043478,0.48008009855827,0.851136363636364
0.002,60,20,3,0.659116541353383,0.254862052993516,0.620405138339921,0.658878890717126,0.389673913043478,0.48008009855827,0.851136363636364
0.005,60,20,3,0.662687969924812,0.264244900808685,0.625411725955204,0.656795557383793,0.402717391304348,0.48960390808208,0.848106060606061
0.01,60,20,3,0.666196741854637,0.273187314983657,0.630146574440053,0.658045557383793,0.415217391304348,0.498240271718443,0.845075757575758
0.02,60,20,3,0.669705513784461,0.281408474477804,0.633835638998682,0.669638963977199,0.419565217391304,0.504896446149939,0.848106060606061
5e-04,80,20,3,0.659116541353383,0.254862052993516,0.620405138339921,0.658878890717126,0.389673913043478,0.48008009855827,0.851136363636364
0.001,80,20,3,0.659116541353383,0.254862052993516,0.620405138339921,0.658878890717126,0.389673913043478,0.48008009855827,0.851136363636364
0.002,80,20,3,0.659116541353383,0.254862052993516,0.620405138339921,0.658878890717126,0.389673913043478,0.48008009855827,0.851136363636364
0.005,80,20,3,0.662687969924812,0.264244900808685,0.625411725955204,0.656795557383793,0.402717391304348,0.48960390808208,0.848106060606061
0.01,80,20,3,0.666196741854637,0.273187314983657,0.630146574440053,0.658045557383793,0.415217391304348,0.498240271718443,0.845075757575758
0.02,80,20,3,0.669705513784461,0.281408474477804,0.633835638998682,0.669638963977199,0.419565217391304,0.504896446149939,0.848106060606061
5e-04,60,30,3,0.675031328320802,0.283477569422518,0.633180994729908,0.710461205461206,0.381702898550725,0.483279528319548,0.884659090909091
0.001,60,30,3,0.675031328320802,0.283477569422518,0.633180994729908,0.710461205461206,0.381702898550725,0.483279528319548,0.884659090909091
0.002,60,30,3,0.675031328320802,0.283477569422518,0.633180994729908,0.710461205461206,0.381702898550725,0.483279528319548,0.884659090909091
0.005,60,30,3,0.675031328320802,0.283477569422518,0.633180994729908,0.710461205461206,0.381702898550725,0.483279528319548,0.884659090909091
0.01,60,30,3,0.676785714285714,0.291345256907296,0.637537055335968,0.700937395937396,0.402536231884058,0.499021155113806,0.872537878787879
0.02,60,30,3,0.675,0.288677292712689,0.636680665349144,0.694971278721279,0.406884057971014,0.498787377392191,0.866477272727273
5e-04,80,30,3,0.675031328320802,0.283477569422518,0.633180994729908,0.710461205461206,0.381702898550725,0.483279528319548,0.884659090909091
0.001,80,30,3,0.675031328320802,0.283477569422518,0.633180994729908,0.710461205461206,0.381702898550725,0.483279528319548,0.884659090909091
0.002,80,30,3,0.675031328320802,0.283477569422518,0.633180994729908,0.710461205461206,0.381702898550725,0.483279528319548,0.884659090909091
0.005,80,30,3,0.675031328320802,0.283477569422518,0.633180994729908,0.710461205461206,0.381702898550725,0.483279528319548,0.884659090909091
0.01,80,30,3,0.676785714285714,0.291345256907296,0.637537055335968,0.700937395937396,0.402536231884058,0.499021155113806,0.872537878787879
0.02,80,30,3,0.675,0.288677292712689,0.636680665349144,0.694971278721279,0.406884057971014,0.498787377392191,0.866477272727273
5e-04,80,40,3,0.650125313283208,0.230078459951575,0.607534584980237,0.660836385836386,0.351811594202899,0.448994303500117,0.863257575757576
0.001,80,40,3,0.650125313283208,0.230078459951575,0.607534584980237,0.660836385836386,0.351811594202899,0.448994303500117,0.863257575757576
0.002,80,40,3,0.650125313283208,0.230078459951575,0.607534584980237,0.660836385836386,0.351811594202899,0.448994303500117,0.863257575757576
0.005,80,40,3,0.65905388471178,0.245179996266542,0.614451581027668,0.677374847374847,0.347463768115942,0.451578282828283,0.881439393939394
0.01,80,40,3,0.653665413533835,0.247754076387371,0.618675889328063,0.62342032967033,0.407427536231884,0.482652880315419,0.829924242424242
0.02,80,40,3,0.666040100250627,0.278094911960542,0.633530961791831,0.641048534798535,0.43713768115942,0.510729803392342,0.829924242424242
5e-04,30,10,4,0.63937969924812,0.236926273987277,0.615349143610013,0.591735789075942,0.47463768115942,0.514575417848139,0.756060606060606
0.001,30,10,4,0.63937969924812,0.236926273987277,0.615349143610013,0.591735789075942,0.47463768115942,0.514575417848139,0.756060606060606
0.002,30,10,4,0.63937969924812,0.236926273987277,0.615349143610013,0.591735789075942,0.47463768115942,0.514575417848139,0.756060606060606
0.005,30,10,4,0.642982456140351,0.231846720881831,0.611948287220026,0.601307907778496,0.424275362318841,0.486641112792559,0.799621212121212
0.01,30,10,4,0.646553884711779,0.237770170826399,0.614319828722003,0.610482923938806,0.419927536231884,0.48773955216831,0.808712121212121
0.02,30,10,4,0.664411027568922,0.271799982455451,0.629471343873518,0.657813297813298,0.419927536231884,0.502121394350497,0.839015151515151
5e-04,40,10,4,0.637625313283208,0.22799034392264,0.610062582345191,0.594857968828557,0.448913043478261,0.500653104802092,0.771212121212121
0.001,40,10,4,0.637625313283208,0.22799034392264,0.610062582345191,0.594857968828557,0.448913043478261,0.500653104802092,0.771212121212121
0.002,40,10,4,0.637625313283208,0.22799034392264,0.610062582345191,0.594857968828557,0.448913043478261,0.500653104802092,0.771212121212121
0.005,40,10,4,0.644768170426065,0.233392681909248,0.612145915678524,0.60819130216189,0.415579710144928,0.484095370597299,0.808712121212121
0.01,40,10,4,0.648339598997494,0.240192839125871,0.615176218708827,0.61681686777275,0.415579710144928,0.486714418216346,0.814772727272727
0.02,40,10,4,0.664411027568922,0.271799982455451,0.629471343873518,0.657813297813298,0.419927536231884,0.502121394350497,0.839015151515151
5e-04,60,10,4,0.63937969924812,0.23278370202548,0.612714097496706,0.594269733534439,0.457246376811594,0.505752883072602,0.768181818181818
0.001,60,10,4,0.63937969924812,0.23278370202548,0.612714097496706,0.594269733534439,0.457246376811594,0.505752883072602,0.768181818181818
0.002,60,10,4,0.63937969924812,0.23278370202548,0.612714097496706,0.594269733534439,0.457246376811594,0.505752883072602,0.768181818181818
0.005,60,10,4,0.646522556390977,0.238186040012087,0.61479743083004,0.607603066867773,0.423913043478261,0.489195148867809,0.805681818181818
0.01,60,10,4,0.650093984962406,0.244986197228711,0.617827733860343,0.616228632478632,0.423913043478261,0.491814196486856,0.811742424242424
0.02,60,10,4,0.664411027568922,0.271799982455451,0.629471343873518,0.657813297813298,0.419927536231884,0.502121394350497,0.839015151515151
5e-04,80,10,4,0.639411027568922,0.233813213696544,0.613282279314888,0.591962041226747,0.461413043478261,0.509248984215762,0.765151515151515
0.001,80,10,4,0.639411027568922,0.233813213696544,0.613282279314888,0.591962041226747,0.461413043478261,0.509248984215762,0.765151515151515
0.002,80,10,4,0.639411027568922,0.233813213696544,0.613282279314888,0.591962041226747,0.461413043478261,0.509248984215762,0.765151515151515
0.005,80,10,4,0.646553884711779,0.239215551683152,0.615365612648221,0.60529537456008,0.428079710144928,0.492691250010969,0.802651515151515
0.01,80,10,4,0.648339598997494,0.242711599398557,0.616880764163373,0.610074786324786,0.428079710144928,0.494357916677635,0.805681818181818
0.02,80,10,4,0.664411027568922,0.271799982455451,0.629471343873518,0.657813297813298,0.419927536231884,0.502121394350497,0.839015151515151
5e-04,40,20,4,0.630451127819549,0.2164504127337,0.605228919631094,0.57603752972174,0.457427536231884,0.500944563004364,0.753030303030303
0.001,40,20,4,0.630451127819549,0.2164504127337,0.605228919631094,0.57603752972174,0.457427536231884,0.500944563004364,0.753030303030303
0.002,40,20,4,0.630451127819549,0.2164504127337,0.605228919631094,0.57603752972174,0.457427536231884,0.500944563004364,0.753030303030303
0.005,40,20,4,0.637593984962406,0.220995867279155,0.607312252964427,0.583180386864597,0.424094202898551,0.479790716850518,0.790530303030303
0.01,40,20,4,0.635870927318296,0.21527215672505,0.60391139657444,0.585642508076719,0.411231884057971,0.472142789462508,0.796590909090909
