"variable","Q27_binary","value","n","row_percent"
"Q1","Satisfied",1,84,25.23
"Q1","Satisfied",2,164,49.25
"Q1","Satisfied",3,77,23.12
"Q1","Satisfied",4,8,2.4
"Q1","Dissatisfied",1,75,15.99
"Q1","Dissatisfied",2,183,39.02
"Q1","Dissatisfied",3,158,33.69
"Q1","Dissatisfied",4,53,11.3
"Q3","Satisfied",1,104,31.23
"Q3","Satisfied",2,156,46.85
"Q3","Satisfied",3,64,19.22
"Q3","Satisfied",4,9,2.7
"Q3","Dissatisfied",1,69,14.71
"Q3","Dissatisfied",2,196,41.79
"Q3","Dissatisfied",3,159,33.9
"Q3","Dissatisfied",4,45,9.59
"Q4_1","Satisfied",1,76,22.82
"Q4_1","Satisfied",2,154,46.25
"Q4_1","Satisfied",3,80,24.02
"Q4_1","Satisfied",4,23,6.91
"Q4_1","Dissatisfied",1,78,16.63
"Q4_1","Dissatisfied",2,185,39.45
"Q4_1","Dissatisfied",3,144,30.7
"Q4_1","Dissatisfied",4,62,13.22
"Q8","Satisfied",1,21,6.31
"Q8","Satisfied",2,219,65.77
"Q8","Satisfied",3,10,3
"Q8","Satisfied",4,25,7.51
"Q8","Satisfied",96,7,2.1
"Q8","Satisfied",97,51,15.32
"Q8","Dissatisfied",1,23,4.9
"Q8","Dissatisfied",2,181,38.59
"Q8","Dissatisfied",3,16,3.41
"Q8","Dissatisfied",4,47,10.02
"Q8","Dissatisfied",96,21,4.48
"Q8","Dissatisfied",97,181,38.59
"Q10","Satisfied",1,206,61.86
"Q10","Satisfied",2,93,27.93
"Q10","Satisfied",3,34,10.21
"Q10","Dissatisfied",1,190,40.51
"Q10","Dissatisfied",2,164,34.97
"Q10","Dissatisfied",3,115,24.52
"Q15","Satisfied",1,26,7.81
"Q15","Satisfied",2,229,68.77
"Q15","Satisfied",3,7,2.1
"Q15","Satisfied",4,27,8.11
"Q15","Satisfied",96,13,3.9
"Q15","Satisfied",97,10,3
"Q15","Satisfied",NA,21,6.31
"Q15","Dissatisfied",1,38,8.1
"Q15","Dissatisfied",2,189,40.3
"Q15","Dissatisfied",3,20,4.26
"Q15","Dissatisfied",4,66,14.07
"Q15","Dissatisfied",96,36,7.68
"Q15","Dissatisfied",97,62,13.22
"Q15","Dissatisfied",NA,58,12.37
"Q21","Satisfied",1,233,69.97
"Q21","Satisfied",2,55,16.52
"Q21","Satisfied",3,12,3.6
"Q21","Satisfied",4,12,3.6
"Q21","Satisfied",NA,21,6.31
"Q21","Dissatisfied",1,234,49.89
"Q21","Dissatisfied",2,103,21.96
"Q21","Dissatisfied",3,48,10.23
"Q21","Dissatisfied",4,26,5.54
"Q21","Dissatisfied",NA,58,12.37
"Q28","Satisfied",1,94,28.23
"Q28","Satisfied",2,113,33.93
"Q28","Satisfied",3,97,29.13
"Q28","Satisfied",4,29,8.71
"Q28","Dissatisfied",1,293,62.47
"Q28","Dissatisfied",2,76,16.2
"Q28","Dissatisfied",3,75,15.99
"Q28","Dissatisfied",4,25,5.33
"Q29","Satisfied",1,47,14.11
"Q29","Satisfied",2,106,31.83
"Q29","Satisfied",3,139,41.74
"Q29","Satisfied",4,35,10.51
"Q29","Satisfied",5,6,1.8
"Q29","Dissatisfied",1,152,32.41
"Q29","Dissatisfied",2,154,32.84
"Q29","Dissatisfied",3,122,26.01
"Q29","Dissatisfied",4,19,4.05
"Q29","Dissatisfied",5,22,4.69
"Q32","Satisfied",1,128,38.44
"Q32","Satisfied",2,51,15.32
"Q32","Satisfied",3,99,29.73
"Q32","Satisfied",4,18,5.41
"Q32","Satisfied",5,37,11.11
"Q32","Dissatisfied",1,155,33.05
"Q32","Dissatisfied",2,59,12.58
"Q32","Dissatisfied",3,87,18.55
"Q32","Dissatisfied",4,38,8.1
"Q32","Dissatisfied",5,130,27.72
"Q33","Satisfied",1,131,39.34
"Q33","Satisfied",2,65,19.52
"Q33","Satisfied",3,92,27.63
"Q33","Satisfied",4,16,4.8
"Q33","Satisfied",5,29,8.71
"Q33","Dissatisfied",1,139,29.64
"Q33","Dissatisfied",2,49,10.45
"Q33","Dissatisfied",3,108,23.03
"Q33","Dissatisfied",4,46,9.81
"Q33","Dissatisfied",5,127,27.08
